{'Channel': 'Security', 'SystemTime': '2022-03-10 09:21:18', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '680', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-18', 'TargetUserName_EventData': 'SYSTEM', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e7', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x00000000000001dc', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:25:34', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '680', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-18', 'TargetUserName_EventData': 'SYSTEM', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e7', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x00000000000001dc', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:25:42', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '680', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-18', 'TargetUserName_EventData': 'SYSTEM', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e7', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x00000000000001dc', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:25:45', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '680', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-18', 'TargetUserName_EventData': 'SYSTEM', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e7', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x00000000000001dc', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:26:15', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '672', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-0-0', 'SubjectUserName_EventData': '-', 'SubjectDomainName_EventData': '-', 'SubjectLogonId_EventData': '0x0000000000000000', 'TargetUserSid_EventData': 'S-1-5-18', 'TargetUserName_EventData': 'SYSTEM', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e7', 'LogonType_EventData': '0', 'LogonProcessName_EventData': '-', 'AuthenticationPackageName_EventData': '-', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x0000000000000004', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '-', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:26:15', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '672', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-18', 'TargetUserName_EventData': 'SYSTEM', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e7', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x0000000000000078', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:26:15', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '672', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-96-0-0', 'TargetUserName_EventData': 'UMFD-0', 'TargetDomainName_EventData': 'Font Driver Host', 'TargetLogonId_EventData': '0x00000000000132c2', 'LogonType_EventData': '2', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x000000000000039c', 'ProcessName_EventData': 'C:\\Windows\\System32\\wininit.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1842', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1843'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:26:15', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '672', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-96-0-1', 'TargetUserName_EventData': 'UMFD-1', 'TargetDomainName_EventData': 'Font Driver Host', 'TargetLogonId_EventData': '0x00000000000132a5', 'LogonType_EventData': '2', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x00000000000001dc', 'ProcessName_EventData': 'C:\\Windows\\System32\\winlogon.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1842', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1843'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:26:15', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '672', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-19', 'TargetUserName_EventData': 'LOCAL SERVICE', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e5', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x0000000000000078', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:26:15', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '672', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-20', 'TargetUserName_EventData': 'NETWORK SERVICE', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e4', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x0000000000000078', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
{'Channel': 'Security', 'SystemTime': '2022-03-10 09:26:15', 'EventID': '4624', 'Level': '0', 'UserID': '', 'ProcessID': '672', 'Computer': 'DESKTOP-SQUGBQK', 'SubjectUserSid_EventData': 'S-1-5-18', 'SubjectUserName_EventData': 'DESKTOP-SQUGBQK$', 'SubjectDomainName_EventData': 'WORKGROUP', 'SubjectLogonId_EventData': '0x00000000000003e7', 'TargetUserSid_EventData': 'S-1-5-18', 'TargetUserName_EventData': 'SYSTEM', 'TargetDomainName_EventData': 'NT AUTHORITY', 'TargetLogonId_EventData': '0x00000000000003e7', 'LogonType_EventData': '5', 'LogonProcessName_EventData': 'Advapi  ', 'AuthenticationPackageName_EventData': 'Negotiate', 'WorkstationName_EventData': '-', 'LogonGuid_EventData': '{00000000-0000-0000-0000-000000000000}', 'TransmittedServices_EventData': '-', 'LmPackageName_EventData': '-', 'KeyLength_EventData': '0', 'ProcessId_EventData': '0x0000000000000078', 'ProcessName_EventData': 'C:\\Windows\\System32\\services.exe', 'IpAddress_EventData': '-', 'IpPort_EventData': '-', 'ImpersonationLevel_EventData': '%%1833', 'RestrictedAdminMode_EventData': '-', 'TargetOutboundUserName_EventData': '-', 'TargetOutboundDomainName_EventData': '-', 'VirtualAccount_EventData': '%%1843', 'TargetLinkedLogonId_EventData': '0x0000000000000000', 'ElevatedToken_EventData': '%%1842'}
